feature,ridge_pct,gbm_pct,avg_pct
year_trend,17.387205361321243,42.98556103488143,30.186383198101336
month_cos,18.570222219857285,26.903002057211673,22.73661213853448
month_sin,9.68553107468605,6.69399871140581,8.18976489304593
hindu_muhurat_count,9.21353052854116,5.100969886681611,7.157250207611385
hijri_availability_ratio,10.865847437856898,0.4669767586243098,5.666412098240603
muhurat_rolling_3m,4.2634047885397734,6.799573976627054,5.531489382583414
quarter,6.128876755909858,0.9299924365304588,3.5294345962201588
combined_favorable_score,3.3832499193023557,3.4532192896492293,3.4182346044757925
muhurat_density_vs_avg,2.7588081840736334,3.223171371409731,2.9909897777416825
months_to_diwali,3.6746647050292363,2.284600351996346,2.9796325285127914
hijri_total_restricted_days,5.092770573171671,0.5040491266935394,2.798409849932605
is_pitru_paksha_month,3.295900213984514,0.01942749588546397,1.6576638549349891
is_top3_muhurat_month,2.4038573799792156,0.005578427207680197,1.2047179035934479
is_mal_maas_year,1.8355814842692035,0.5468354183402525,1.191208451304728
is_diwali_month,1.0997607458796625,0.0,0.5498803729398313
is_kharmas_month,0.34078862759823025,0.08304365685541794,0.2119161422268241
